id,MIN
LIZ1_000052379,MZP_000000214
LIZ1_000092626,MZP_000002729
LIZ1_000008957,MZP_000000977
LIZ1_000007701,MZP_000002015
LIZ1_000267161,MZP_000002028
LIZ1_000024023,MZP_000000424
LIZ1_000006410,MZP_000001432
LIZ1_000016509,MZP_000000859
LIZ1_000004909,MZP_000003587
LIZ1_000011261,MZP_000002485
LIZ1_000047764,MZP_000003422
LIZ1_000024857,MZP_000002197
LIZ1_000000243,MZP_000002273
LIZ1_000079836,MZP_000002382
LIZ1_000043452,MZP_000002004
LIZ1_000000133,MZP_000002928
LIZ1_000001910,MZP_000002330
LIZ1_000051698,MZP_000002631
LIZ1_000039540,MZP_000003304
LIZ1_000128504,MZP_000001314
LIZ1_000007818,MZP_000002472
LIZ1_000163014,MZP_000002041
LIZ1_000065732,MZP_000003370
LIZ1_000005876,MZP_000000168
LIZ1_000237565,MZP_000002131
LIZ1_000415333,MZP_000001242
LIZ1_000060351,MZP_000001998
LIZ1_000010103,MZP_000000738
LIZ1_000039810,MZP_000000383
LIZ1_000447488,MZP_000002035
LIZ1_000005245,MZP_000000100
LIZ1_000039754,MZP_000002376
LIZ1_000020615,MZP_000000938
LIZ1_000000245,MZP_000002112
LIZ1_000092651,MZP_000001993
LIZ1_000048602,MZP_000000065
LIZ1_000003974,MZP_000000223
LIZ1_000065163,MZP_000002256
LIZ1_000222346,MZP_000002144
LIZ1_000003774,MZP_000000306
LIZ1_000112115,MZP_000001840
LIZ1_000068806,MZP_000001960
LIZ1_000237560,MZP_000002313
LIZ1_000065472,MZP_000003627
LIZ1_000151317,MZP_000001826
LIZ1_000049095,MZP_000002896
LIZ1_000096703,MZP_000000218
LIZ1_000076389,MZP_000002428
LIZ1_000092729,MZP_000001645
LIZ1_000039744,MZP_000002307
LIZ1_000050303,MZP_000002279
LIZ1_000004914,MZP_000000904
LIZ1_000040033,MZP_000003374
LIZ1_000079738,MZP_000000162
LIZ1_000289312,MZP_000005457
LIZ1_000022723,MZP_000002914
LIZ1_000049584,MZP_000000562
LIZ1_000092943,MZP_000001495
LIZ1_000040554,MZP_000002451
LIZ1_000100266,MZP_000000336
LIZ1_000112147,MZP_000001827
LIZ1_000065099,MZP_000001478
LIZ1_000039761,MZP_000003317
LIZ1_000065875,MZP_000002314
LIZ1_000141716,MZP_000000292
LIZ1_000197581,MZP_000002179
LIZ1_000006388,MZP_000000857
LIZ1_000050100,MZP_000000113
LIZ1_000124068,MZP_000000098
LIZ1_000092543,MZP_000001063
LIZ1_000128343,MZP_000002354
LIZ1_000022599,MZP_000002296
LIZ1_000303999,MZP_000002312
LIZ1_000015952,MZP_000002379
LIZ1_000006623,MZP_000001766
LIZ1_000244926,MZP_000000921
LIZ1_000006483,MZP_000000981
LIZ1_000039779,MZP_000002448
LIZ1_000026390,MZP_000001131
LIZ1_000118794,MZP_000000260
LIZ1_000128120,MZP_000003598
LIZ1_000128397,MZP_000002583
LIZ1_000066200,MZP_000003158
LIZ1_000049290,MZP_000000649
LIZ1_000092532,MZP_000000176
LIZ1_000154703,MZP_000001585
LIZ1_000067532,MZP_000001957
LIZ1_000006333,MZP_000001770
LIZ1_000233536,MZP_000001846
LIZ1_000004563,MZP_000005458
LIZ1_000037364,MZP_000002322
LIZ1_000002757,MZP_000002160
LIZ1_000005777,MZP_000001797
LIZ1_000188216,MZP_000000220
LIZ1_000054615,MZP_000002445
LIZ1_000007451,MZP_000003649
LIZ1_000094213,MZP_000002678
LIZ1_000129237,MZP_000002501
LIZ1_000004402,MZP_000005459
LIZ1_000072704,MZP_000003680
LIZ1_000007232,MZP_000001571
LIZ1_000076168,MZP_000002533
LIZ1_000065346,MZP_000002074
LIZ1_000094020,MZP_000002754
LIZ1_000004420,MZP_000001656
LIZ1_000040954,MZP_000003230
LIZ1_000006948,MZP_000000211
LIZ1_000304008,MZP_000000283
LIZ1_000021053,MZP_000003203
LIZ1_000004372,MZP_000000693
LIZ1_000056077,MZP_000000644
LIZ1_000079483,MZP_000000364
LIZ1_000263459,MZP_000000740
LIZ1_000066047,MZP_000001007
LIZ1_000016556,MZP_000000301
LIZ1_000366352,MZP_000002172
LIZ1_000039844,MZP_000000427
LIZ1_000226131,MZP_000000470
LIZ1_000066314,MZP_000001162
LIZ1_000011807,MZP_000003657
LIZ1_000067268,MZP_000000412
LIZ1_000092570,MZP_000000083
LIZ1_000184802,MZP_000002080
LIZ1_000048303,MZP_000002885
LIZ1_000211732,MZP_000002184
LIZ1_000201104,MZP_000003558
LIZ1_000128424,MZP_000002105
LIZ1_000128399,MZP_000001448
LIZ1_000022582,MZP_000002086
LIZ1_000035181,MZP_000001179
LIZ1_000100570,MZP_000001777
LIZ1_000128495,MZP_000005460
LIZ1_000079391,MZP_000003546
LIZ1_000000912,MZP_000000302
LIZ1_000174630,MZP_000003769
LIZ1_000128086,MZP_000001677
LIZ1_000065910,MZP_000002964
LIZ1_000128194,MZP_000002559
LIZ1_000065556,MZP_000000606
LIZ1_000136585,MZP_000002452
LIZ1_000203452,MZP_000000325
LIZ1_000100385,MZP_000000298
LIZ1_000186184,MZP_000003369
LIZ1_000040509,MZP_000000467
LIZ1_000039768,MZP_000002390
LIZ1_000066017,MZP_000001992
LIZ1_000128201,MZP_000003316
LIZ1_000108435,MZP_000002932
LIZ1_000212444,MZP_000000175
LIZ1_000079301,MZP_000000545
LIZ1_000066689,MZP_000002486
LIZ1_000039750,MZP_000003667
LIZ1_000016159,MZP_000001845
LIZ1_000293996,MZP_000003655
LIZ1_000001154,MZP_000000107
LIZ1_000063855,MZP_000001107
LIZ1_000132074,MZP_000005461
LIZ1_000092499,MZP_000003603
LIZ1_000128426,MZP_000002547
LIZ1_000160397,MZP_000002712
LIZ1_000107641,MZP_000000263
LIZ1_000161187,MZP_000005462
LIZ1_000005262,MZP_000005463
LIZ1_000131225,MZP_000002579
LIZ1_000049135,MZP_000000651
LIZ1_000127997,MZP_000003330
LIZ1_000016199,MZP_000000433
LIZ1_000071130,MZP_000000342
LIZ1_000005287,MZP_000000895
LIZ1_000079761,MZP_000000764
LIZ1_000106896,MZP_000002529
LIZ1_000286774,MZP_000000918
LIZ1_000039851,MZP_000002422
LIZ1_000106467,MZP_000000184
LIZ1_000092498,MZP_000002692
LIZ1_000068018,MZP_000005464
LIZ1_000079371,MZP_000003505
LIZ1_000006109,MZP_000003424
LIZ1_000074906,MZP_000001470
LIZ1_000065638,MZP_000003431
LIZ1_000041645,MZP_000001501
LIZ1_000049756,MZP_000003776
LIZ1_000184787,MZP_000003139
LIZ1_000039875,MZP_000002447
LIZ1_000230383,MZP_000002845
LIZ1_000067569,MZP_000000884
LIZ1_000066907,MZP_000001145
LIZ1_000006476,MZP_000001110
LIZ1_000116446,MZP_000000526
LIZ1_000125105,MZP_000000257
LIZ1_000025025,MZP_000000435
LIZ1_000112525,MZP_000002417
LIZ1_000109353,MZP_000000525
LIZ1_000001378,MZP_000000078
LIZ1_000074623,MZP_000003377
LIZ1_000239377,MZP_000000186
LIZ1_000076834,MZP_000002065
LIZ1_000246043,MZP_000002935
