id,MIN
JI01_002012265,MZP_000000155
JI01_001421724,MZP_000000342
JI01_000751209,MZP_000003702
JI01_001231045,MZP_000000304
JI01_001333274,MZP_000000768
JI01_001327843,MZP_000000499
JI01_001592356,MZP_000000237
JI01_001370180,MZP_000002889
JI01_001138641,MZP_000000192
JI01_000705864,MZP_000000827
JI01_000280017,MZP_000000605
JI01_001558924,MZP_000000383
JI01_000962778,MZP_000000615
JI01_001920051,MZP_000001364
JI01_000293295,MZP_000003703
JI01_001257789,MZP_000000469
JI01_000285249,MZP_000003704
JI01_001058039,MZP_000003705
JI01_000626781,MZP_000000443
JI01_000311985,MZP_000000513
JI01_001529843,MZP_000000677
JI01_000547310,MZP_000000330
JI01_001576763,MZP_000000587
JI01_000907596,MZP_000000257
JI01_001324278,MZP_000000433
JI01_001062137,MZP_000000144
JI01_000488819,MZP_000002907
JI01_001643247,MZP_000000494
JI01_001143360,MZP_000000124
JI01_000957472,MZP_000000538
JI01_001734276,MZP_000000962
JI01_000386556,MZP_000000466
JI01_000547839,MZP_000000418
JI01_001957197,MZP_000002802
JI01_000589798,MZP_000003706
JI01_001088714,MZP_000002370
JI01_001593115,MZP_000000719
JI01_001919622,MZP_000002845
JI01_000287709,MZP_000000419
JI01_000870581,MZP_000000799
JI01_001970076,MZP_000003250
JI01_000409278,MZP_000003707
JI01_000757533,MZP_000000657
JI01_001920246,MZP_000002242
JI01_000360137,MZP_000000807
JI01_000548769,MZP_000001279
JI01_001532791,MZP_000000345
JI01_001883776,MZP_000002985
JI01_001606392,MZP_000003708
JI01_000282016,MZP_000003709
JI01_000465805,MZP_000000797
JI01_000653440,MZP_000002394
JI01_000954024,MZP_000000609
JI01_001326329,MZP_000000830
JI01_000552529,MZP_000000134
JI01_000291660,MZP_000000341
JI01_001257906,MZP_000003710
JI01_000779236,MZP_000003711
JI01_000415120,MZP_000000405
JI01_000829464,MZP_000000586
JI01_000286849,MZP_000000501
JI01_001325112,MZP_000000580
JI01_000410370,MZP_000002883
JI01_000961257,MZP_000000375
JI01_000289454,MZP_000000311
JI01_000415269,MZP_000000315
JI01_001328540,MZP_000000570
JI01_000616423,MZP_000000590
JI01_000914876,MZP_000003712
JI01_001695613,MZP_000002218
JI01_001916443,MZP_000000467
JI01_000424619,MZP_000003713
JI01_000720185,MZP_000000229
JI01_000667723,MZP_000003458
JI01_001266673,MZP_000000439
JI01_001593350,MZP_000002220
JI01_001417054,MZP_000000340
JI01_000289836,MZP_000003714
JI01_000680268,MZP_000000518
JI01_000830879,MZP_000002583
JI01_001001081,MZP_000003715
JI01_001373001,MZP_000003716
JI01_000806712,MZP_000000649
JI01_001188920,MZP_000000740
JI01_001092029,MZP_000000921
JI01_000351655,MZP_000000863
JI01_000270627,MZP_000000512
JI01_001251744,MZP_000003717
JI01_001643307,MZP_000001196
JI01_000341395,MZP_000000399
JI01_000367425,MZP_000000547
JI01_000836608,MZP_000003466
JI01_001559915,MZP_000000455
JI01_000309752,MZP_000000462
JI01_001672020,MZP_000000380
JI01_001673455,MZP_000003718
JI01_000000005,MZP_000003719
JI01_000055831,MZP_000000185
JI01_000401076,MZP_000001957
JI01_001097776,MZP_000000811
JI01_000289543,MZP_000000438
JI01_000493935,MZP_000003720
JI01_001152920,MZP_000000284
JI01_001258295,MZP_000003721
JI01_001684303,MZP_000003722
JI01_001005150,MZP_000000808
JI01_001728832,MZP_000000801
JI01_001558988,MZP_000001112
JI01_000289990,MZP_000000273
JI01_000670617,MZP_000000728
JI01_000287627,MZP_000000764
JI01_000476878,MZP_000000718
JI01_000955360,MZP_000000622
JI01_000961420,MZP_000000737
JI01_001327772,MZP_000001610
JI01_001088525,MZP_000000471
JI01_000875701,MZP_000000585
JI01_001531578,MZP_000000919
JI01_001591274,MZP_000000842
JI01_001722394,MZP_000000525
JI01_001325594,MZP_000000475
JI01_001594556,MZP_000000306
JI01_001674308,MZP_000000559
JI01_001971059,MZP_000002004
JI01_000671315,MZP_000000573
JI01_000794350,MZP_000003723
JI01_000777002,MZP_000000491
JI01_001569549,MZP_000000857
JI01_001333344,MZP_000000751
JI01_001607306,MZP_000000505
JI01_001785694,MZP_000000514
JI01_001149333,MZP_000000493
JI01_001347349,MZP_000000465
JI01_001529398,MZP_000000725
JI01_000353419,MZP_000000511
JI01_000827094,MZP_000000442
JI01_000380856,MZP_000000488
JI01_001089369,MZP_000000658
JI01_001091157,MZP_000001013
JI01_000289957,MZP_000000693
JI01_000422009,MZP_000000603
JI01_000800820,MZP_000003724
JI01_000325793,MZP_000000291
JI01_001259348,MZP_000001061
JI01_000563031,MZP_000000773
JI01_000279747,MZP_000000850
JI01_000669056,MZP_000000697
JI01_000915944,MZP_000001063
JI01_001262433,MZP_000003725
JI01_001529115,MZP_000000248
JI01_001786084,MZP_000000640
JI01_000346442,MZP_000000478
JI01_000486981,MZP_000000815
JI01_001692243,MZP_000000457
JI01_000549493,MZP_000001136
JI01_000964109,MZP_000003726
JI01_000419383,MZP_000000680
JI01_001882514,MZP_000000872
JI01_000726610,MZP_000003727
JI01_000777779,MZP_000003728
JI01_000915248,MZP_000000277
JI01_001103920,MZP_000002529
