id,1.BT,1.PS,10.BT,10.PS,11.BT,11.PS,12.BT,12.PS,13.BT,13.PS,14.BT,14.PS,15.BT,15.PS,2.BT,2.PS,3.BT,3.PS,4.BT,4.PS,5.BT,5.PS,6.BT,6.PS,7.BT,7.PS,8.BT,8.PS,9.BT
LizaZoop_000002423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000002552,0,0,324,761,1,49,207,452,848,1231,0,1,313,481,5,19,2,1,6,8,1,7,2,6,0,1,9,6,1
LizaZoop_000002701,0,0,114,74,2,1,0,0,0,0,0,0,0,0,0,0,32,49,0,1,0,0,1,0,0,0,0,0,0
LizaZoop_000002732,1,2,26,79,3,7,2450,2373,249,302,0,2,5,12,1033,1030,5,12,1696,1635,159,107,106,107,2,1,6,1,5
LizaZoop_000002753,17,10,16,32,7,7,2285,1412,1415,1120,1,1,753,952,386,503,17,16,2171,2175,189,108,5955,5094,5,5,12,6,10
LizaZoop_000002980,10,5,0,0,2,0,7,1,0,0,11,2,6,4,8,1,9,1,8,27,2,1,2,1,6,6,22,17,1
LizaZoop_000003739,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
LizaZoop_000003848,0,1,6,4,69,105,6,5,5,5,0,0,3,5,521,307,60,233,3,0,6,8,1,0,0,0,1,0,4
LizaZoop_000004694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000004714,324,202,5,14,1,3,301,269,180,83,446,333,679,524,119,123,4,8,321,304,58,53,72,56,669,1154,320,103,336
LizaZoop_000004804,3,2,4,4,1,1,3,4,9,34,0,1,19,2,59,71,0,0,57,72,258,364,30,88,3,1,2,0,2
LizaZoop_000005408,546,624,5,1,82,49,2,0,210,179,0,0,3,3,5,12,4,5,1,1,40,73,179,185,0,0,0,0,890
LizaZoop_000005656,1,0,2,0,188,442,1,0,1,0,0,1,0,0,0,1,13,11,0,0,0,0,125,110,0,0,1,1,1
LizaZoop_000005986,1,1,0,0,1,1,0,12,0,0,6,2,1,0,0,0,0,1,0,0,0,3,0,1,3,9,0,0,2
LizaZoop_000006483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,4,1,0,0,0,0,0,0,0
LizaZoop_000006516,6,6,9,6,2,1,69,77,44,53,4,2,2,3,4,4,4,0,19,12,7,2,42,33,0,0,0,0,3
LizaZoop_000006735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000006749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000006803,0,0,9,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000006896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000007500,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000007760,1,1,2,3,5,4,1,0,2,2,0,0,4,2,0,0,0,2,0,1,1,1,1491,1735,3,1,5,4,1
LizaZoop_000007917,2,0,1,2,1,0,2,0,12,29,3,1,56,75,8,6,0,0,0,0,3,4,318,187,0,0,35,47,15
LizaZoop_000007925,0,0,0,0,0,1,0,1,2,3,80,97,81,33,19,20,2,0,0,0,0,0,11,7,1,2,17,26,0
LizaZoop_000008439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,8,0,0,0,0,0
LizaZoop_000008815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000008934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000009085,1,3,7,2,2,2,1,0,2,1,676,675,21,42,0,1,3,3,1,1,0,1,1,2,556,858,250,395,3
LizaZoop_000009803,0,0,20,14,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000012010,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000012354,0,0,3,0,1,3,0,0,6,17,0,0,0,0,29,29,1,2,0,0,1,1,1,0,0,0,0,0,0
LizaZoop_000013707,48,20,1,0,0,0,51,31,27,44,1,3,526,387,0,0,0,0,7,5,4,2,26,24,2,0,0,0,19
LizaZoop_000015268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,24,0,1,1,0,0
LizaZoop_000015399,14,10,0,0,0,0,0,0,10,2,0,1,0,1,0,0,6,1,0,0,5,6,4,3,2,3,0,0,0
LizaZoop_000016020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0
LizaZoop_000016456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000017287,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000017362,326,335,10,17,4,4,5,0,0,1,4,2,0,0,45,65,2,6,11,14,4,6,1,1,0,1,2,1,799
LizaZoop_000017750,0,4,1,1,0,0,116,70,68,10,20,12,528,303,11,21,1,0,161,182,6,3,43,45,10,6,17,13,0
LizaZoop_000018328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,3,5,0,0,0,0,0,0,0,0,1,0,0
LizaZoop_000018592,0,1,1,0,1,0,0,0,0,1,532,467,1,1,0,0,0,0,0,0,0,0,1,0,4,29,913,777,1
LizaZoop_000019775,168,296,3,1,3,1,3,0,2,2,0,1,0,1,2,7,1,2,1,1,0,1,0,0,1,0,1,0,75
LizaZoop_000019786,40,33,2,2,0,2,20,67,176,102,2,0,27,42,73,82,2,3,42,47,29,23,809,727,2,1,0,3,46
LizaZoop_000020626,9,27,30,43,6,19,587,437,192,96,17,9,248,303,673,1335,11,14,450,972,42,120,12,8,32,52,23,14,199
LizaZoop_000021963,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000022398,6,17,125,357,17,12,17,0,1125,543,0,0,0,0,1,4,6,5,58,43,382,410,50,67,0,1,0,1,41
LizaZoop_000023965,0,0,1,2,0,0,0,0,382,626,0,0,0,1,0,0,0,3,0,0,4,7,0,0,1,1,0,0,0
LizaZoop_000025732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000026210,1,1,41,41,0,0,11,28,98,166,0,0,522,899,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0
LizaZoop_000026423,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260
LizaZoop_000026891,2,2,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
LizaZoop_000027133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,2,3,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000028796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
LizaZoop_000029627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,19,0,0,0,0,0
LizaZoop_000030102,0,1,2,1,1,0,294,396,194,159,0,0,307,341,6,1,1,0,90,113,3,0,126,116,0,0,1,0,1
LizaZoop_000030544,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000030551,0,0,0,0,0,6,0,0,28,70,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
LizaZoop_000031233,0,0,4,0,0,0,16,0,25,26,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0
LizaZoop_000031553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
LizaZoop_000031582,1,0,0,0,0,0,6,0,0,9,0,9,2,28,210,183,4,0,0,1,0,1,0,0,0,0,0,1,0
LizaZoop_000031696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000032043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LizaZoop_000033429,0,0,0,0,0,0,0,0,0,0,31,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
LizaZoop_000034577,0,0,3,0,2,6,0,0,35,9,0,0,1,1,0,1,1,2,1,0,0,0,102,88,0,1,894,837,0
