id,sample_10_381,sample_15_385,sample_17_385,sample_20_390,sample_22_390,sample_25_396,sample_27_396,sample_2_369,sample_31_398,sample_32_398,sample_33_,sample_34_398,sample_36_401,sample_37_400,sample_38_401,sample_39_400,sample_42_414,sample_43_414,sample_47_416,sample_48_416,sample_52_418,sample_54_418,sample_56_420,sample_59_420,sample_5_369,sample_62_424,sample_64_424,sample_8_381,sample_BL1,sample_BL2
JI01_000247867,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,241,68,375,98,24,15,0,235,106,0,0,0
JI01_000731629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164,45,382,50,0,0,0,31,15,0,0,0
JI01_000535397,0,0,9,0,0,0,0,0,0,0,24,0,43,6,16,23,31,1,57,0,0,0,0,0,0,13,3,0,0,0
JI01_000657246,0,0,0,4,1,0,0,1,0,0,0,0,22,7,12,15,75,6,65,22,289,68,146,74,0,2,2,0,0,0
JI01_000106773,0,0,0,5,68,5,0,0,0,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000000230,3779,2287,1322,23042,42041,855,9248,104,202,227,577,81,32861,12239,24072,30112,4379,1456,2728,1159,1087,341,2688,9675,61,449,281,9693,15,0
JI01_000083122,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
JI01_000303071,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0
JI01_000289703,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,49,30,19,14,0,0,2,0,0,0,0,0
JI01_000003614,32,4,1,7,0,1,3,0,15,12,30,2,7,0,2,4,5,4,2,0,2,0,0,0,0,0,0,11,0,0
JI01_000160667,711,30,7,74,177,666,258,290,241,504,69,3,185,88,118,104,202,25,1182,549,976,826,5005,1608,74,366,151,1870,0,0
JI01_000733711,2,13,0,0,0,0,5,2,0,0,0,0,2,1,3,2,2,0,35,1,7,8,2,0,0,2,0,25,0,0
JI01_000088617,0,0,2,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
JI01_000233550,0,0,0,0,0,0,0,396,0,0,0,0,0,0,0,0,0,0,63,26,134,67,0,0,61,181,61,0,0,0
JI01_001065472,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0,0
JI01_000100727,0,0,0,5666,25959,483,1010,0,209,206,30,0,579,337,292,411,0,0,0,1,0,0,0,0,0,0,0,0,0,0
JI01_000004619,15,12,33,6,0,3,9,2,0,3,41,125,7,5,28,39,11,9,8,16,8,28,4,16,37,5,55,0,0,20
JI01_000863667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,6,0,0,0,0,0,0,0,0
JI01_000000060,4493,0,20,932,1049,36,109,0,140,284,147,4,340,150,78,182,234,2,444,117,1,2,0,0,0,0,0,13139,0,0
JI01_000385213,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000126383,1,27,0,11,9,4,6,0,4,3,22,0,8,1,0,21,20,19,2,18,1,1,0,2,0,0,1,10,0,0
JI01_000110167,0,0,0,4,12,310,73,92,372,651,354,22,1,3,0,8,0,0,45,23,122,33,8,2,9,55,21,0,0,0
JI01_000444527,0,0,0,0,0,0,0,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000101027,0,0,0,51,38,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_001066007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0
JI01_000141500,14,7,0,236,345,45,31,12,0,0,0,0,26,9,6,42,0,0,12,2,2,0,0,0,15,7,0,5,0,0
JI01_000000016,5585,0,12,2035,9102,4849,1220,0,92,80,58,0,173,114,105,153,0,0,0,0,0,0,0,0,0,0,0,16746,0,0
JI01_000563785,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0
JI01_000100378,74,0,0,1264,1988,13506,9382,0,760,1168,581,16,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,106,0,0
JI01_000310018,0,0,0,0,0,398,127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000309865,0,0,0,0,0,907,459,0,24,42,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000245199,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,1,0,0,0
JI01_000310269,0,0,0,0,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000729720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,490,195,35,5,0,0,0,395,90,0,0,0
JI01_000416832,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000410181,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000731271,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,2,401,29,768,102,2500,88,0,0,0,196,0,0
JI01_000000214,470,11,0,205,464,1153,284,527,95,109,4,0,42,5,19,15,1025,39,3104,610,891,245,274,48,41,1417,104,1580,0,0
JI01_000000133,392,1,0,458,810,625,234,99,66,90,22,0,204,77,86,160,0,0,0,0,0,13,84,19,8,0,0,1026,0,0
JI01_000314839,0,0,0,0,0,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000063396,0,4,0,14,20,88,91,336,94,66,55,11,14,8,0,23,2,0,28,9,68,41,15,0,163,43,16,2,0,0
JI01_000002050,418,133,35,2219,7019,4636,1478,74,737,907,267,9,804,323,182,527,166,9,0,0,0,2,521,55,5,0,0,850,0,0
JI01_000008837,701,0,0,5,97,0,0,95,0,0,0,0,0,0,0,0,45,0,1091,134,190,48,149,28,52,11,3,1024,0,0
JI01_000001012,1051,73,7,212,1029,475,172,1405,103,77,17,4,230,73,5,41,717,97,1001,241,612,193,1169,340,63,569,166,1604,0,0
JI01_000000017,12851,553,230,124,83,24,19,2107,846,746,604,65,783,203,341,488,3172,793,19478,5696,7612,4154,10525,7211,311,4119,1388,13142,0,3
JI01_000000004,1669,0,0,0,0,0,0,252,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,4,0,0,5923,0,0
JI01_000802951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,27,25,184,3,8,13,0,72,0,0,0
JI01_001074663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
JI01_000017381,37,0,0,74,32,7,0,0,50,29,53,24,157,69,36,48,2,1,0,0,0,0,0,0,0,0,0,69,0,0
JI01_000354696,0,0,0,0,0,26,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JI01_000000359,3058,36,3,678,1801,84,35,0,224,128,6,0,948,473,314,1597,22,0,0,0,0,0,0,0,0,0,0,12950,0,37
JI01_000772356,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,2,13,2,6,0,0,39,8,0,0,0
JI01_000027973,11,0,12,2,2,7,25,2059,0,0,0,0,167,60,85,154,5218,1230,2796,1539,17641,8388,834,459,317,1341,655,0,0,0
JI01_000312597,0,0,0,0,0,86,45,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
